,ID,UMIN_ID,Japic_ID,JMA_ID,jRCT_ID
32305,UMIN000020263,UMIN000020263,,,
32532,UMIN000019926,UMIN000019926,,,
32636,UMIN000019948,UMIN000019948,,,
32702,UMIN000019868,UMIN000019868,,,
32717,UMIN000019843,UMIN000019843,,,
32719,UMIN000019844,UMIN000019844,,,
32866,UMIN000019635,UMIN000019635,,,
32916,UMIN000019661,UMIN000019661,,,
33017,UMIN000019587,UMIN000019587,,,
33060,UMIN000019549,UMIN000019549,,,
33062,UMIN000019524,UMIN000019524,,,
33109,UMIN000019481,UMIN000019481,,,
33123,UMIN000019483,UMIN000019483,,,
33167,UMIN000019357,UMIN000019357,,,
33221,UMIN000019368,UMIN000019368,,,
33239,UMIN000019351,UMIN000019351,,,
33257,UMIN000019313,UMIN000019313,,,
33276,UMIN000019303,UMIN000019303,,,
33310,UMIN000019269,UMIN000019269,,,
33316,UMIN000019237,UMIN000019237,,,
33362,UMIN000019191,UMIN000019191,,,
33369,UMIN000018964,UMIN000018964,,,
33372,UMIN000018627,UMIN000018627,,,
33429,UMIN000018645,UMIN000018645,,,
33435,UMIN000019093,UMIN000019093,,,
33455,UMIN000019081,UMIN000019081,,,
33551,UMIN000019004,UMIN000019004,,,
33722,UMIN000018817,UMIN000018817,,,
33725,UMIN000018780,UMIN000018780,,,
33810,UMIN000018749,UMIN000018749,,,
33820,UMIN000018734,UMIN000018734,,,
33954,UMIN000018388,UMIN000018388,,,
34030,UMIN000017877,UMIN000017877,,,
34035,UMIN000018148,UMIN000018148,,,
34079,UMIN000018440,UMIN000018440,,,
34083,UMIN000018480,UMIN000018480,,,
34094,UMIN000018130,UMIN000018130,,,
34180,UMIN000018364,UMIN000018364,,,
34220,UMIN000018217,UMIN000018217,,,
34233,UMIN000018322,UMIN000018322,,,
34249,UMIN000018283,UMIN000018283,,,
34250,UMIN000018298,UMIN000018298,,,
34301,UMIN000018248,UMIN000018248,,,
34335,UMIN000018202,UMIN000018202,,,
34376,UMIN000017984,UMIN000017984,,,
34539,UMIN000018041,UMIN000018041,,,
34735,UMIN000017802,UMIN000017802,,,
34779,UMIN000017295,UMIN000017295,,,
34862,UMIN000017694,UMIN000017694,,,
34876,UMIN000017683,UMIN000017683,,,
34902,UMIN000017655,UMIN000017655,,,
34903,UMIN000017652,UMIN000017652,,,
35261,UMIN000017185,UMIN000017185,,,
35294,UMIN000017247,UMIN000017247,,,
35370,UMIN000017102,UMIN000017102,,,
35472,UMIN000017069,UMIN000017069,,,
35507,UMIN000016537,UMIN000016537,,,
35547,UMIN000016893,UMIN000016893,,,
35590,UMIN000016523,UMIN000016523,,,
35654,UMIN000016932,UMIN000016932,,,
35662,UMIN000016920,UMIN000016920,,,
35691,UMIN000016776,UMIN000016776,,,
35752,UMIN000016788,UMIN000016788,,,
35898,UMIN000016440,UMIN000016440,,,
35947,UMIN000016630,UMIN000016630,,,
36023,UMIN000016346,UMIN000016346,,,
36112,UMIN000016427,UMIN000016427,,,
36142,UMIN000016390,UMIN000016390,,,
36150,UMIN000016335,UMIN000016335,,,
36563,UMIN000016010,UMIN000016010,,,
36576,UMIN000015991,UMIN000015991,,,
36603,UMIN000015938,UMIN000015938,,,
36898,UMIN000015631,UMIN000015631,,,
37036,UMIN000015550,UMIN000015550,,,
37098,UMIN000015476,UMIN000015476,,,
37131,UMIN000015424,UMIN000015424,,,
37165,UMIN000015371,UMIN000015371,,,
37194,UMIN000015348,UMIN000015348,,,
37233,UMIN000015152,UMIN000015152,,,
37238,UMIN000014875,UMIN000014875,,,
37460,UMIN000015107,UMIN000015107,,,
37488,UMIN000015064,UMIN000015064,,,
37583,UMIN000014988,UMIN000014988,,,
37687,UMIN000014894,UMIN000014894,,,
37776,UMIN000014795,UMIN000014795,,,
37822,UMIN000014589,UMIN000014589,,,
37829,UMIN000014587,UMIN000014587,,,
37982,UMIN000014572,UMIN000014572,,,
38006,UMIN000014578,UMIN000014578,,,
38009,UMIN000014566,UMIN000014566,,,
38100,UMIN000014498,UMIN000014498,,,
38187,UMIN000014336,UMIN000014336,,,
38214,UMIN000014383,UMIN000014383,,,
38217,UMIN000014401,UMIN000014401,,,
38226,UMIN000014386,UMIN000014386,,,
38259,UMIN000014347,UMIN000014347,,,
38361,UMIN000014243,UMIN000014243,,,
38529,UMIN000014104,UMIN000014104,,,
38592,UMIN000014017,UMIN000014017,,,
38639,UMIN000013964,UMIN000013964,,,
38792,UMIN000013825,UMIN000013825,,,
38894,UMIN000013706,UMIN000013706,,,
39065,UMIN000013373,UMIN000013373,,,
39126,UMIN000013493,UMIN000013493,,,
39248,UMIN000013380,UMIN000013380,,,
39249,UMIN000013381,UMIN000013381,,,
39327,UMIN000013288,UMIN000013288,,,
39468,UMIN000013175,UMIN000013175,,,
39630,UMIN000013036,UMIN000013036,,,
39866,UMIN000013036,UMIN000013036,,,
40317,UMIN000012774,UMIN000012774,,,
40326,UMIN000012705,UMIN000012705,,,
40331,UMIN000012730,UMIN000012730,,,
40368,UMIN000012465,UMIN000012465,,,
40517,UMIN000012605,UMIN000012605,,,
40551,UMIN000012559,UMIN000012559,,,
40674,UMIN000011994,UMIN000011994,,,
40738,UMIN000012413,UMIN000012413,,,
40797,UMIN000012355,UMIN000012355,,,
40899,UMIN000012214,UMIN000012214,,,
40900,UMIN000012204,UMIN000012204,,,
40938,UMIN000012173,UMIN000012173,,,
40951,UMIN000011899,UMIN000011899,,,
40957,UMIN000012122,UMIN000012122,,,
40965,UMIN000012179,UMIN000012179,,,
41027,UMIN000012123,UMIN000012123,,,
41181,UMIN000011941,UMIN000011941,,,
41185,UMIN000011946,UMIN000011946,,,
41197,UMIN000011384,UMIN000011384,,,
41343,UMIN000011805,UMIN000011805,,,
41515,UMIN000011636,UMIN000011636,,,
41819,UMIN000011348,UMIN000011348,,,
42031,UMIN000011130,UMIN000011130,,,
42288,UMIN000010869,UMIN000010869,,,
42319,UMIN000010843,UMIN000010843,,,
42361,UMIN000010848,UMIN000010848,,,
42795,UMIN000010337,UMIN000010337,,,
42932,UMIN000010298,UMIN000010298,,,
43132,UMIN000010059,UMIN000010059,,,
43524,UMIN000009726,UMIN000009726,,,
43674,UMIN000009510,UMIN000009510,,,
43779,UMIN000009482,UMIN000009482,,,
43891,UMIN000009392,UMIN000009392,,,
43908,UMIN000009369,UMIN000009369,,,
43930,UMIN000009339,UMIN000009339,,,
43970,UMIN000009306,UMIN000009306,,,
44158,UMIN000009125,UMIN000009125,,,
44224,UMIN000009050,UMIN000009050,,,
44265,UMIN000008730,UMIN000008730,,,
44445,UMIN000008866,UMIN000008866,,,
44598,UMIN000008675,UMIN000008675,,,
44712,UMIN000008543,UMIN000008543,,,
44713,UMIN000008583,UMIN000008583,,,
44798,UMIN000008507,UMIN000008507,,,
44859,UMIN000008471,UMIN000008471,,,
44860,UMIN000008470,UMIN000008470,,,
44949,UMIN000008366,UMIN000008366,,,
45019,UMIN000008286,UMIN000008286,,,
45043,UMIN000008298,UMIN000008298,,,
45241,UMIN000008067,UMIN000008067,,,
45436,UMIN000007783,UMIN000007783,,,
45515,UMIN000007819,UMIN000007819,,,
45530,UMIN000007702,UMIN000007702,,,
45619,UMIN000007696,UMIN000007696,,,
45643,UMIN000007665,UMIN000007665,,,
45689,JapicCTI-121857,,JapicCTI-121857,,
46060,UMIN000007309,UMIN000007309,,,
46540,UMIN000006851,UMIN000006851,,,
46577,UMIN000006804,UMIN000006804,,,
46654,UMIN000006737,UMIN000006737,,,
