,ID,UMIN_ID,Japic_ID,JMA_ID,jRCT_ID
23130,UMIN000029418,UMIN000029418,,,
23152,UMIN000029375,UMIN000029375,,,
23166,UMIN000029108,UMIN000029108,,,
23182,UMIN000029000,UMIN000029000,,,
23221,UMIN000028668,UMIN000028668,,,
23241,UMIN000029005,UMIN000029005,,,
23242,UMIN000029275,UMIN000029275,,,
23248,UMIN000028739,UMIN000028739,,,
23249,UMIN000029324,UMIN000029324,,,
23251,UMIN000028421,UMIN000028421,,,
23343,UMIN000029280,UMIN000029280,,,
23403,UMIN000029194,UMIN000029194,,,
23447,UMIN000028553,UMIN000028553,,,
23469,UMIN000029112,UMIN000029112,,,
23509,UMIN000028998,UMIN000028998,,,
23586,UMIN000028634,UMIN000028634,,,
23594,UMIN000028766,UMIN000028766,,,
23599,UMIN000028467,UMIN000028467,,,
23607,UMIN000027873,UMIN000027873,,,
23661,UMIN000028938,UMIN000028938,,,
23678,UMIN000028950,UMIN000028950,,,
23682,UMIN000027229,UMIN000027229,,,
23687,UMIN000028749,UMIN000028749,,,
23688,UMIN000028097,UMIN000028097,,,
23690,UMIN000027967,UMIN000027967,,,
23729,UMIN000028877,UMIN000028877,,,
23789,UMIN000028827,UMIN000028827,,,
23828,UMIN000028517,UMIN000028517,,,
23905,UMIN000028667,UMIN000028667,,,
23921,UMIN000028677,UMIN000028677,,,
23946,UMIN000028626,UMIN000028626,,,
23977,UMIN000028561,UMIN000028561,,,
23985,UMIN000028587,UMIN000028587,,,
24019,UMIN000028524,UMIN000028524,,,
24035,UMIN000028488,UMIN000028488,,,
24059,UMIN000028468,UMIN000028468,,,
24066,UMIN000027997,UMIN000027997,,,
24088,UMIN000028047,UMIN000028047,,,
24271,UMIN000028309,UMIN000028309,,,
24314,UMIN000027904,UMIN000027904,,,
24340,UMIN000028224,UMIN000028224,,,
24422,UMIN000028037,UMIN000028037,,,
24444,UMIN000028082,UMIN000028082,,,
24458,UMIN000028071,UMIN000028071,,,
24473,UMIN000027976,UMIN000027976,,,
24489,UMIN000027771,UMIN000027771,,,
24508,UMIN000027805,UMIN000027805,,,
24520,UMIN000027506,UMIN000027506,,,
24524,UMIN000027417,UMIN000027417,,,
24543,UMIN000027095,UMIN000027095,,,
24558,UMIN000027589,UMIN000027589,,,
24559,UMIN000028008,UMIN000028008,,,
24581,UMIN000027821,UMIN000027821,,,
24632,UMIN000027938,UMIN000027938,,,
24677,UMIN000027881,UMIN000027881,,,
24680,UMIN000027763,UMIN000027763,,,
24752,UMIN000027789,UMIN000027789,,,
24757,UMIN000027829,UMIN000027829,,,
24773,UMIN000027811,UMIN000027811,,,
24776,UMIN000027799,UMIN000027799,,,
24777,UMIN000027432,UMIN000027432,,,
24786,UMIN000027793,UMIN000027793,,,
24788,UMIN000027772,UMIN000027772,,,
24789,UMIN000027783,UMIN000027783,,,
24880,UMIN000027655,UMIN000027655,,,
24996,UMIN000027208,UMIN000027208,,,
25012,UMIN000026439,UMIN000026439,,,
25083,UMIN000027460,UMIN000027460,,,
25090,UMIN000027485,UMIN000027485,,,
25122,UMIN000026493,UMIN000026493,,,
25126,UMIN000027435,UMIN000027435,,,
25151,UMIN000027389,UMIN000027389,,,
25167,UMIN000027244,UMIN000027244,,,
25217,UMIN000027324,UMIN000027324,,,
25218,UMIN000027270,UMIN000027270,,,
25225,UMIN000027312,UMIN000027312,,,
25270,UMIN000027280,UMIN000027280,,,
25320,UMIN000027102,UMIN000027102,,,
25362,UMIN000026692,UMIN000026692,,,
25373,UMIN000027210,UMIN000027210,,,
25394,UMIN000026953,UMIN000026953,,,
25438,UMIN000027144,UMIN000027144,,,
25440,UMIN000027150,UMIN000027150,,,
25528,UMIN000026954,UMIN000026954,,,
25529,UMIN000027017,UMIN000027017,,,
25600,UMIN000026847,UMIN000026847,,,
25641,UMIN000026886,UMIN000026886,,,
25690,UMIN000026094,UMIN000026094,,,
25723,UMIN000025635,UMIN000025635,,,
25807,UMIN000026128,UMIN000026128,,,
25817,UMIN000026002,UMIN000026002,,,
25824,UMIN000025900,UMIN000025900,,,
25828,UMIN000026001,UMIN000026001,,,
25830,UMIN000026630,UMIN000026630,,,
25832,UMIN000026624,UMIN000026624,,,
25862,UMIN000026150,UMIN000026150,,,
25879,UMIN000026817,UMIN000026817,,,
25903,UMIN000026753,UMIN000026753,,,
25923,UMIN000026741,UMIN000026741,,,
25938,UMIN000026698,UMIN000026698,,,
26055,UMIN000026586,UMIN000026586,,,
26070,UMIN000026492,UMIN000026492,,,
26108,UMIN000026525,UMIN000026525,,,
26160,UMIN000026004,UMIN000026004,,,
26205,UMIN000026266,UMIN000026266,,,
26282,UMIN000026159,UMIN000026159,,,
26287,UMIN000025156,UMIN000025156,,,
26307,UMIN000026340,UMIN000026340,,,
26308,UMIN000026306,UMIN000026306,,,
26309,UMIN000025501,UMIN000025501,,,
26439,UMIN000026197,UMIN000026197,,,
26485,UMIN000026111,UMIN000026111,,,
26519,UMIN000026063,UMIN000026063,,,
26550,UMIN000026028,UMIN000026028,,,
26594,UMIN000025980,UMIN000025980,,,
26611,UMIN000025473,UMIN000025473,,,
26615,UMIN000025211,UMIN000025211,,,
26672,UMIN000024989,UMIN000024989,,,
26676,UMIN000024165,UMIN000024165,,,
26679,UMIN000025725,UMIN000025725,,,
26694,UMIN000025392,UMIN000025392,,,
26709,UMIN000025893,UMIN000025893,,,
